model,term,estimate_log_rr,rr,ci_low_rr,ci_high_rr,p_value
raw_temperature,Intercept,-13.158643612848865,1.9287400099112868e-06,1.8774516111820248e-06,1.9814295099145012e-06,0.0
raw_temperature,C(prefecture_code)[T.JP-02],0.33139915980753176,1.3929156773110016,1.3658984030634111,1.4204673493630937,3.8436489679323193e-241
raw_temperature,C(prefecture_code)[T.JP-03],0.344603509254896,1.4114301897035386,1.3843743705318083,1.4390147801142021,8.677067830815676e-267
raw_temperature,C(prefecture_code)[T.JP-04],0.19189012508099715,1.2115373920786678,1.1904430961251578,1.2330054726534023,1.025475502135061e-101
raw_temperature,C(prefecture_code)[T.JP-05],0.3770948403154167,1.4580425840326767,1.4277270156510715,1.4890018564811132,4.6267372583420293e-271
raw_temperature,C(prefecture_code)[T.JP-06],0.3128197698348482,1.3672750846054262,1.3394360054116552,1.395692776235496,3.400661067175735e-195
raw_temperature,C(prefecture_code)[T.JP-07],0.3929797621199335,1.4813884088649443,1.4565877995428664,1.5066112860537033,0.0
raw_temperature,C(prefecture_code)[T.JP-08],0.18267115748811316,1.200419594173924,1.1794568354738564,1.2217549288251417,8.088797592002012e-92
raw_temperature,C(prefecture_code)[T.JP-09],0.2569922423362591,1.293035095788967,1.2698607276503375,1.3166323853763275,1.0316543907848855e-170
raw_temperature,C(prefecture_code)[T.JP-10],0.18564279346388238,1.203992109704867,1.1823791601382712,1.226000126780022,9.64917690724254e-90
raw_temperature,C(prefecture_code)[T.JP-11],0.11046805892014754,1.1168006766628213,1.1003172722738037,1.1335310122116946,4.978608483942125e-48
raw_temperature,C(prefecture_code)[T.JP-13],0.09213494266123917,1.0965127784501862,1.0810543302141784,1.1121922735061238,4.65872865569848e-37
raw_temperature,C(prefecture_code)[T.JP-14],0.10348300300501645,1.109026943079481,1.0930122430330365,1.125276288821079,3.4246936790985403e-44
raw_temperature,C(prefecture_code)[T.JP-15],0.13020093595086824,1.1390572378804849,1.1190377739766015,1.1594348478133218,5.838610235855687e-47
raw_temperature,C(prefecture_code)[T.JP-16],-0.11603094337274542,0.8904476694170247,0.8681935393729893,0.9132722325287546,2.5789455766206754e-19
raw_temperature,C(prefecture_code)[T.JP-17],-0.20613705681189862,0.8137215425594706,0.7925665717428125,0.8354411760886497,4.281353892690269e-53
raw_temperature,C(prefecture_code)[T.JP-18],-0.14062063867833668,0.8688188454530323,0.8433454083326565,0.89506171345228,2.01111103500922e-20
raw_temperature,C(prefecture_code)[T.JP-19],0.2717330810321575,1.3122366936974679,1.281497856142031,1.3437128529189,8.397380493408565e-112
raw_temperature,C(prefecture_code)[T.JP-20],0.006556808079797402,1.006578351004431,0.9883204429100236,1.0251735497117922,0.4826477322386221
raw_temperature,C(prefecture_code)[T.JP-21],0.295370155785107,1.3436236167038624,1.320375484392065,1.3672810838316845,3.113010680410322e-241
raw_temperature,C(prefecture_code)[T.JP-22],0.09626716539702063,1.1010531880144658,1.082782790734577,1.1196318718866622,1.7225051803870742e-29
raw_temperature,C(prefecture_code)[T.JP-23],0.06955232659451231,1.0720281553197404,1.0556111695748065,1.08870045990623,1.0158122052682566e-18
raw_temperature,C(prefecture_code)[T.JP-24],0.2813259717041764,1.3248854087078799,1.29922489985642,1.3510527287469862,7.262212824001097e-175
raw_temperature,C(prefecture_code)[T.JP-25],-0.08613377934721773,0.9174714842735738,0.8963327394720961,0.9391087565884448,4.407787051646161e-13
raw_temperature,C(prefecture_code)[T.JP-26],0.12957963648983709,1.1383497620324454,1.1180548915641029,1.1590130238655008,2.9413309914793205e-45
raw_temperature,C(prefecture_code)[T.JP-27],0.1277874516374206,1.136311455888451,1.119515411583054,1.153359490565209,1.7748688677868037e-63
